,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply,PC 1,PC 2,PC 3,CoinName,Class
LTHN,CryptoNight-V7,PoW,441250233.377,999481516,-0.14676022885909304,-2.1990452548211272,0.3285394133638801,Lethean,1
GER,Scrypt,PoW/PoS,4911500269.41,50000000000,0.08790858129087716,0.9594496009439297,-0.5685687117819925,GermanCoin,0
LTCU,Scrypt,PoW/PoS,8419402.321,150000000,-0.3252345133974538,0.9805962448684598,-0.5639262006178011,LiteCoin Ultra,0
POP,Scrypt,PoW,3964201248.87125,4999999999,-0.0875186016397203,-1.1446896851557096,-0.0723209518444572,PopularCoin,1
PNX,X11,PoW/PoS,45174214.1078625,50000000,-0.3866967691146539,1.2771076089931532,-0.37219386449868447,PhantomX,0
PHO,BLAKE256,PoW,30089671530.5228, 90000000000,1.0962615070639559,-1.2634474715140689,0.06670013841924292,Photon,1
SUCR,X11,PoW,4229040.50393462,19800000,-0.23240161116696906,-0.847726192243664,0.12072121184734466,Sucre,1
SPK,NeoScrypt,PoW,7847417.33355824,21000000,-0.18783873314444002,-1.653417253685517,0.14739899674064993,SparksPay,1
WAGE,Quark,PoS,27299680.0,120000000,-0.360541356988721,1.5332859221893436,-0.19914205859267867,Digiwage,0
GUN,NeoScrypt,PoW,299797953.0,500000000,-0.1808769547598938,-1.6535077960088866,0.14729483836286023,GunCoin,1
IRL,Scrypt,PoW,45483049.3398182,64000000,-0.17038146146998237,-1.1441754678937681,-0.07102623576637004,IrishCoin,1
TROLL,Scrypt,PoW/PoS,591022748.0,900000000,-0.3128006593010858,0.980512210874063,-0.5641198066124564,Trollcoin,0
LCP,Scrypt,PoW/PoS,2504486.227718,4000000,-0.3263413199642317,0.9806620645679902,-0.563914657721913,Litecoin Plus,0
MONK,X11,PoS,4407252.0,21000000,-0.3528521831218936,1.1164128756081177,-0.09118596720386102,Monkey Project,0
PCOIN,X11,PoW,8478104.33969947,23000000,-0.2323270123581437,-0.8477257394826796,0.12071995692873223,Pioneer Coin,1
